"subjectID","testDate","languageScore"
31,2005-08-15,68
218,2008-09-18,74
940,2013-10-22,82
686,2012-10-19,91
997,2015-10-31,83
795,2013-04-30,76
737,2013-01-16,86
349,2005-06-03,56
873,2008-07-26,56
741,2012-05-16,80
608,2014-06-30,63
878,2014-12-03,28
118,2012-02-19,73
11,2009-03-19,77
96,2006-01-16,52
231,2005-03-14,96
913,2005-02-05,72
654,2012-01-25,71
514,2006-02-19,40
991,2013-04-23,57
813,2008-09-23,87
494,2012-12-01,74
194,2012-06-04,69
35,2005-04-04,82
546,2015-08-12,78
873,2013-04-24,83
908,2009-05-29,36
94,2014-05-30,86
190,2011-01-12,46
81,2013-09-19,60
371,2013-11-15,73
691,2009-01-21,71
572,2013-06-29,52
285,2006-09-05,75
717,2012-08-06,49
942,2015-03-22,62
245,2013-12-22,75
51,2010-10-27,77
20,2008-10-14,56
70,2014-07-08,71
602,2011-03-01,76
539,2006-05-31,74
548,2006-12-25,65
314,2014-11-17,83
504,2008-09-10,68
986,2007-11-02,88
788,2015-02-04,71
679,2015-03-17,83
156,2008-07-04,49
343,2015-04-05,49
508,2008-01-08,60
575,2010-11-02,73
12,2009-10-30,86
753,2012-08-08,44
731,2013-01-27,82
851,2014-08-23,44
401,2011-03-07,85
167,2012-12-08,37
571,2007-04-11,74
347,2013-02-15,82
924,2015-03-03,89
400,2006-10-12,77
820,2008-01-18,59
571,2006-10-27,57
861,2006-07-01,93
544,2014-09-24,76
557,2008-03-18,49
986,2006-01-25,74
152,2012-05-17,40
308,2010-04-12,90
786,2013-09-06,73
735,2014-02-16,69
94,2015-07-12,51
705,2014-07-15,83
103,2013-07-28,60
911,2015-03-12,68
382,2005-02-11,41
599,2011-08-15,47
325,2011-02-28,79
610,2011-08-13,69
974,2012-05-27,80
913,2007-01-12,63
785,2009-02-24,47
570,2006-10-20,52
616,2006-08-09,94
811,2015-11-05,66
985,2005-09-09,64
891,2006-09-20,29
220,2015-04-10,51
819,2008-11-20,39
727,2015-03-28,87
788,2010-02-14,74
370,2013-10-10,80
85,2007-09-15,65
940,2005-08-27,82
502,2007-05-25,67
983,2013-12-03,82
28,2011-01-12,60
361,2008-07-22,50
686,2006-06-29,73
310,2008-03-20,67
865,2007-03-25,73
869,2013-02-08,63
697,2010-01-21,70
849,2011-12-02,87
300,2008-11-22,58
191,2011-02-17,93
359,2015-07-17,62
496,2008-11-27,45
139,2008-05-06,72
128,2011-07-13,41
835,2011-04-21,79
346,2015-04-07,76
228,2009-09-02,65
248,2015-05-21,47
556,2009-11-10,57
503,2008-09-15,62
525,2009-07-09,52
728,2015-05-14,57
961,2011-02-16,84
25,2006-07-16,38
45,2010-08-06,53
564,2014-12-07,56
245,2009-11-08,80
329,2013-06-12,80
385,2005-03-10,94
250,2015-10-28,83
624,2007-01-13,86
165,2009-04-10,92
910,2013-04-19,32
739,2006-07-05,84
763,2007-11-06,78
715,2006-05-06,86
306,2013-11-29,91
403,2008-01-31,55
178,2006-07-03,63
482,2013-02-24,56
15,2006-07-17,90
551,2007-07-30,73
943,2005-10-14,39
485,2006-01-16,58
773,2010-02-09,40
95,2010-02-28,65
287,2013-05-23,74
877,2011-01-08,80
64,2015-03-27,70
340,2009-03-12,90
620,2008-02-03,55
120,2006-09-09,61
591,2007-01-03,76
875,2005-07-22,71
872,2007-10-24,87
781,2015-10-13,59
385,2013-09-23,76
235,2010-06-29,76
385,2009-11-12,75
980,2007-02-11,49
275,2011-01-12,82
551,2012-03-04,89
422,2009-09-07,70
503,2012-08-29,79
819,2010-02-15,91
345,2005-09-17,65
584,2006-01-24,75
428,2011-09-21,77
677,2008-03-11,70
987,2006-09-28,82
477,2009-02-08,80
518,2015-08-24,46
147,2009-04-07,85
563,2012-08-05,51
804,2005-12-22,74
952,2010-04-21,73
99,2009-09-09,70
704,2012-11-01,51
624,2014-06-08,79
797,2008-01-26,79
639,2012-10-30,29
896,2013-03-05,52
864,2008-11-15,91
562,2009-03-18,48
597,2011-12-22,75
633,2015-08-21,74
800,2010-10-17,50
69,2009-02-12,62
804,2006-09-24,60
552,2010-12-16,77
643,2014-11-20,54
996,2015-12-25,60
642,2009-09-02,81
369,2013-07-10,96
374,2014-09-06,82
878,2009-01-07,84
861,2009-07-11,86
179,2010-01-09,47
721,2010-01-03,80
557,2006-12-25,77
608,2011-06-25,42
901,2012-09-22,48
846,2012-02-25,73
924,2014-09-27,81
119,2008-10-15,68
351,2008-08-29,92
303,2009-01-03,81
439,2013-05-14,65
408,2010-12-16,52
688,2005-04-30,70
300,2010-07-30,74
336,2009-12-13,74
250,2010-02-20,49
995,2015-11-25,89
107,2005-08-04,82
90,2007-11-15,70
972,2006-12-10,78
195,2014-05-23,68
507,2006-08-18,36
800,2005-09-23,67
955,2015-09-16,61
94,2012-08-27,64
334,2014-03-23,75
989,2009-05-17,64
108,2010-04-16,65
312,2015-03-15,90
183,2009-12-16,62
261,2009-07-05,84
475,2008-06-28,94
740,2009-06-09,63
559,2008-06-17,64
206,2012-04-13,35
253,2005-01-02,27
654,2009-02-19,77
6,2007-02-22,66
854,2006-04-12,84
443,2006-07-20,46
348,2011-07-22,77
864,2009-08-13,81
61,2010-09-01,66
382,2010-03-25,85
641,2005-01-12,72
875,2012-05-27,83
364,2005-08-18,80
426,2012-12-05,74
683,2013-07-06,52
25,2014-07-11,84
775,2011-08-08,78
993,2008-03-19,67
343,2011-09-02,72
258,2015-01-01,88
632,2014-06-23,40
887,2014-05-24,70
130,2011-08-12,51
214,2005-01-28,86
629,2007-06-18,58
706,2011-02-12,48
782,2015-01-10,60
344,2009-03-25,78
270,2013-01-10,74
734,2011-02-28,45
507,2007-12-17,77
38,2005-10-28,87
856,2014-02-18,86
1000,2014-04-15,66
272,2009-06-12,72
516,2012-10-20,76
485,2007-03-08,79
134,2009-08-31,65
240,2008-02-15,76
314,2007-03-12,86
889,2009-07-19,91
724,2014-12-16,95
973,2013-03-11,88
852,2008-12-14,60
683,2007-12-23,87
178,2006-05-16,76
61,2010-12-10,61
329,2013-09-14,47
982,2015-07-02,65
648,2015-04-28,80
315,2013-03-26,84
752,2010-03-23,53
239,2010-03-04,69
566,2009-04-18,83
187,2013-11-08,57
498,2015-07-12,85
493,2011-05-20,63
784,2005-12-30,92
296,2007-01-17,60
182,2007-05-25,81
84,2008-03-03,72
341,2005-09-07,81
184,2009-10-04,76
666,2014-01-11,91
95,2005-05-06,57
85,2013-12-12,87
758,2008-11-13,32
291,2013-04-17,97
339,2007-12-10,82
985,2012-06-22,83
867,2008-09-30,82
366,2011-07-05,84
922,2015-07-09,80
103,2007-12-21,69
216,2013-08-13,78
610,2006-09-30,68
772,2009-08-21,87
631,2011-02-25,94
980,2012-09-23,84
180,2006-08-26,68
99,2006-04-10,57
436,2005-10-10,62
762,2013-01-06,58
276,2006-02-02,56
268,2010-09-21,88
252,2005-05-03,75
116,2012-09-28,66
716,2015-02-25,55
16,2006-08-06,66
379,2013-12-29,67
823,2014-08-27,87
857,2006-06-15,98
371,2014-03-17,76
511,2006-10-31,64
124,2014-09-11,84
444,2006-10-26,55
593,2008-11-20,75
391,2010-03-27,69
217,2015-09-11,57
33,2007-01-02,47
266,2010-07-22,63
623,2010-10-09,82
623,2005-02-19,75
852,2010-04-01,45
741,2010-04-01,65
742,2005-06-16,47
623,2006-01-04,81
136,2015-08-16,76
991,2015-09-05,80
501,2008-09-06,61
15,2007-09-02,96
113,2007-05-27,91
965,2006-04-19,90
717,2015-03-23,89
85,2008-01-26,85
893,2014-12-07,70
755,2015-10-10,89
915,2014-05-06,64
988,2008-07-13,69
923,2013-01-06,81
155,2011-06-23,49
977,2008-07-23,84
107,2009-02-24,79
82,2015-11-28,77
147,2015-07-07,61
999,2012-04-21,46
351,2009-04-29,44
845,2011-09-13,65
485,2006-05-05,30
24,2009-08-22,61
863,2014-09-22,63
311,2007-07-30,58
142,2008-09-21,47
62,2009-02-21,54
261,2012-08-01,68
321,2009-06-16,38
302,2010-08-28,35
755,2006-05-26,77
215,2009-02-22,47
672,2007-02-14,44
174,2008-02-10,44
109,2014-06-14,86
653,2008-04-26,58
602,2005-11-20,73
699,2006-07-12,89
439,2013-07-28,57
398,2014-05-11,61
153,2014-12-09,86
689,2010-12-10,68
716,2008-12-28,50
945,2007-10-26,83
119,2014-02-04,36
811,2011-01-09,68
692,2012-06-15,83
726,2012-10-08,68
893,2011-09-07,69
698,2006-03-11,90
61,2005-06-28,46
16,2012-02-10,93
697,2014-05-25,66
588,2006-12-04,66
48,2007-01-02,63
828,2012-03-14,95
662,2009-05-19,74
393,2014-05-13,35
872,2009-03-13,80
51,2010-08-07,62
950,2012-07-08,92
47,2013-04-06,49
171,2009-01-25,64
153,2007-11-18,84
72,2014-11-04,54
731,2013-08-30,72
676,2010-06-20,70
961,2012-02-10,68
566,2015-01-12,50
56,2010-10-01,91
622,2010-11-01,64
275,2008-10-18,84
800,2014-11-09,84
226,2008-03-28,62
797,2006-01-27,48
261,2006-12-13,82
791,2010-03-24,70
874,2013-07-10,81
83,2007-07-14,57
715,2008-12-07,97
68,2013-01-07,46
184,2007-02-28,70
515,2012-11-20,79
964,2012-07-31,65
153,2012-07-27,66
622,2005-03-19,59
461,2013-04-07,56
772,2009-07-19,66
695,2009-04-06,90
950,2005-11-06,69
943,2010-06-27,53
360,2015-05-19,62
970,2013-05-14,45
426,2007-12-20,81
31,2007-06-01,68
812,2013-08-08,67
707,2010-12-21,71
470,2005-04-25,64
959,2009-08-31,50
43,2013-03-22,78
197,2009-11-11,85
225,2014-08-31,90
157,2008-05-10,82
458,2015-12-15,80
840,2009-12-27,67
905,2010-09-22,89
726,2008-04-02,38
160,2010-01-15,77
131,2005-02-09,75
136,2011-02-20,40
84,2005-10-09,51
189,2005-08-06,60
634,2011-04-07,86
953,2006-08-26,59
742,2013-10-23,43
745,2011-06-13,83
262,2010-04-12,82
836,2014-09-01,46
154,2010-06-30,69
633,2010-07-22,62
55,2009-01-14,76
450,2010-11-09,44
53,2014-05-18,90
499,2013-07-10,73
902,2009-01-28,52
697,2015-04-08,30
967,2010-05-24,54
810,2013-10-13,40
898,2012-02-21,63
136,2009-07-02,76
22,2014-03-21,59
705,2013-06-16,41
441,2010-12-04,80
868,2010-02-13,81
537,2006-07-27,91
468,2013-10-14,46
83,2013-03-13,36
463,2014-02-09,71
691,2013-02-17,71
33,2006-04-24,70
690,2007-07-04,84
752,2005-10-04,60
39,2010-06-13,79
310,2012-12-20,59
891,2011-11-13,79
944,2015-08-28,73
900,2015-03-20,74
568,2013-08-15,46
890,2011-07-14,56
9,2009-11-12,67
169,2013-05-10,74
378,2008-11-19,82
462,2012-11-06,51
20,2015-12-17,62
491,2011-12-11,80
796,2005-07-20,64
341,2009-09-05,73
547,2011-08-09,71
346,2008-10-17,52
518,2014-12-22,87
139,2006-01-31,64
111,2006-01-30,86
216,2009-06-04,57
830,2015-01-19,85
521,2008-05-28,55
